atr_period,atr_multiplier,min_spacing,train_return_jpy_pct,train_dd_pct,oos_return_jpy_pct,oos_dd_pct,oos_sharpe,round_trips
10,0.5,0.75,34.07249526183856,6.76415907168327,15.740395718259407,2.717319481576218,0.36270222806445523,145
10,0.5,1.0,34.492136754776524,6.742442812390703,16.087869921255603,2.5569354276571943,0.42620833298696276,140
10,0.5,1.5,36.21374762659225,6.662105652464959,16.281182135599995,2.2294597269439613,0.5198358764722248,118
10,0.75,0.75,36.004269578776515,6.689600045759468,16.504888903494244,2.3512874049314005,0.4976319212854131,119
10,0.75,1.0,36.04594648901676,6.687488332813099,16.482592042229022,2.3517401480480604,0.4977494010723055,118
10,0.75,1.5,36.65009290311095,6.657026103947854,16.430197770885346,2.229254763912207,0.5406385525737336,110
10,1.0,0.75,37.59357639058004,6.545008013130485,16.441295583009623,2.1316934784342245,0.5406706041985705,97
10,1.0,1.0,37.59393791911968,6.544990246641596,16.49162471754455,2.130764634380898,0.5503178880638689,97
10,1.0,1.5,37.76791407748165,6.536451765243188,16.39285035970743,2.1325883193858974,0.539838777818227,96
10,1.25,0.75,38.96786325874436,6.477590289186557,15.800274410696622,1.9135805498731333,0.45336404541264697,83
10,1.25,1.0,38.96786325874436,6.477590289186557,15.800254202595795,1.9135808863737822,0.4534575052513375,83
10,1.25,1.5,38.9956704954342,6.476252046475289,15.640253573978358,1.916248895213319,0.4274690315505952,82
10,1.5,0.75,40.04376810754972,6.436256029178549,16.977711152859147,1.3709408271794221,0.684366242226973,80
10,1.5,1.0,40.04376810754972,6.436256029178549,16.977711152859147,1.3709408271794221,0.684366242226973,80
10,1.5,1.5,40.044310376819084,6.436230258864366,16.391460152407564,1.3736698613731135,0.6010289567173959,78
14,0.5,0.75,33.752355997766934,6.865848309181044,15.77775301337766,2.72506011165262,0.3680940211318956,147
14,0.5,1.0,34.33289930063952,6.835328639804951,16.076201083036818,2.557018974476983,0.4244402976409454,141
14,0.5,1.5,36.06912311226749,6.748997900265745,16.284774758204293,2.2294597269439613,0.5204775774241013,118
14,0.75,0.75,36.095638858548504,6.520455509186253,16.678633365018914,2.3470728354093606,0.526557099596359,121
14,0.75,1.0,36.150416529185215,6.517743410782882,16.652367497249116,2.347605308212702,0.5261903189616215,120
14,0.75,1.5,36.963148903400096,6.477767637640386,16.404371573418842,2.2293632931521636,0.5374940462439296,111
14,1.0,0.75,37.114185074396666,6.566089395443848,16.405987274958385,2.1256090093417077,0.5381020187088357,97
14,1.0,1.0,37.12218695943162,6.565693710825118,16.451544201204786,2.12477060368465,0.5468919841468557,97
14,1.0,1.5,37.31713681066987,6.5560683625774425,16.350566905089188,2.126629829076965,0.5358975715145526,96
14,1.25,0.75,38.4301228181558,6.500227155667387,16.305703690318683,1.2112643394268234,0.5769318949257587,85
14,1.25,1.0,38.4301228181558,6.500227155667387,16.305703690318683,1.2112643394268234,0.5769318949257587,85
14,1.25,1.5,38.47397059451957,6.498102431801412,16.1393515547123,1.2130173639253596,0.550325041349142,84
14,1.5,0.75,39.753257095288795,6.4474665263234785,17.183227982452568,1.3710472719081073,0.7507056954512349,82
14,1.5,1.0,39.753257095288795,6.4474665263234785,17.183227982452568,1.3710472719081073,0.7507056954512349,82
14,1.5,1.5,39.76525994638133,6.44689417341902,16.949933447812317,1.3738231685977302,0.7117971049904314,81
20,0.5,0.75,33.341255974748464,6.821293595304409,15.736030109521215,2.738277332043273,0.3613712576684347,149
20,0.5,1.0,34.03779529910224,6.784893536913366,16.04090694528081,2.557093207952891,0.4189258518443222,142
20,0.5,1.5,35.85750828666735,6.695827277891237,16.270093502599085,2.2294597269439613,0.5178079108386533,119
20,0.75,0.75,35.613497758288716,6.665133133081606,16.739616541982144,2.3487286810694967,0.5375974594876703,123
20,0.75,1.0,35.69568290798661,6.660748178003434,16.704636728379217,2.3494378086444656,0.5356970068962109,122
20,0.75,1.5,36.69355809000278,6.610558825213314,16.36317508332598,2.2294597269439613,0.5314115316802782,111
20,1.0,0.75,36.38007852866776,6.6887781345824795,16.36179475370651,2.130281991588816,0.5313980585019137,97
20,1.0,1.0,36.39396129050232,6.688077144056413,16.400234714670727,2.1295729587640837,0.5388239129885422,97
20,1.0,1.5,36.6748366688169,6.673926227935747,16.29365353042087,2.131540031151573,0.5266128785235225,96
20,1.25,0.75,38.261112449861265,6.5060108749489105,16.260621778162566,1.229143325265009,0.5689711158839945,87
20,1.25,1.0,38.261112449861265,6.5060108749489105,16.260621778162566,1.229143325265009,0.5689711158839945,87
20,1.25,1.5,38.335149577711164,6.502417694344892,16.08034931719759,1.2310713349777354,0.5390892964865719,86
20,1.5,0.75,39.10639124943726,6.473858048410238,17.139301247379628,1.3956018437259552,0.7187850368787045,82
20,1.5,1.0,39.10639124943726,6.473858048410238,17.139301247379628,1.3956018437259552,0.7187850368787045,82
20,1.5,1.5,39.127215415729175,6.472856973350227,16.897526217255024,1.3985302810905522,0.6786916093964834,81
