cost_scenario,total_return_jpy_pct,max_drawdown_pct,sharpe,round_trips,fees_usd,fee_drag_pct
cost_zero,55.75654476594358,6.6006368804595805,0.39124558563791656,103,0.0,0.0
cost_current,51.70747551765504,6.907059333633938,0.2777646309113207,96,42.87956690116625,1.509171424351385
cost_1_5x,49.932775612866216,7.064255094590835,0.22807674756278984,93,62.510741244758776,2.226143892363668
cost_2x,48.299283914942684,7.214894944378461,0.18898803633623107,91,81.84819312099813,2.946898699865362
cost_stress,42.04398636654151,0.0,0.0,0,0.0,0.0
